geoid,name,total,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,county,state,tract,asian_all,other_all
16055000500,"Census Tract 5, Kootenai County, Idaho",12806.0,12054.0,3.0,0.0,26.0,34.0,0.0,142.0,547.0,055,16,000500,60.0,142.0
16055000900,"Census Tract 9, Kootenai County, Idaho",5128.0,4704.0,4.0,31.0,49.0,0.0,0.0,130.0,210.0,055,16,000900,49.0,161.0
16055001200,"Census Tract 12, Kootenai County, Idaho",6780.0,6275.0,26.0,37.0,31.0,0.0,0.0,97.0,314.0,055,16,001200,31.0,134.0
16055001300,"Census Tract 13, Kootenai County, Idaho",4576.0,3963.0,7.0,80.0,71.0,0.0,0.0,86.0,369.0,055,16,001300,71.0,166.0
16055001500,"Census Tract 15, Kootenai County, Idaho",3505.0,3155.0,0.0,77.0,10.0,0.0,0.0,27.0,236.0,055,16,001500,10.0,104.0
16055001100,"Census Tract 11, Kootenai County, Idaho",2168.0,2066.0,0.0,14.0,0.0,0.0,0.0,22.0,66.0,055,16,001100,0.0,36.0
16055001400,"Census Tract 14, Kootenai County, Idaho",2883.0,2555.0,26.0,87.0,55.0,0.0,0.0,66.0,94.0,055,16,001400,55.0,153.0
16055001700,"Census Tract 17, Kootenai County, Idaho",4410.0,4045.0,7.0,32.0,18.0,42.0,0.0,68.0,198.0,055,16,001700,60.0,100.0
16055001800,"Census Tract 18, Kootenai County, Idaho",8519.0,8052.0,66.0,2.0,85.0,0.0,0.0,74.0,240.0,055,16,001800,85.0,76.0
16055000800,"Census Tract 8, Kootenai County, Idaho",4590.0,4290.0,63.0,66.0,0.0,0.0,0.0,113.0,58.0,055,16,000800,0.0,179.0
16055002000,"Census Tract 20, Kootenai County, Idaho",3750.0,3480.0,0.0,66.0,21.0,0.0,0.0,67.0,116.0,055,16,002000,21.0,133.0
16061950300,"Census Tract 9503, Lewis County, Idaho",19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,061,16,950300,0.0,0.0
16001010331,"Census Tract 103.31, Ada County, Idaho",21859.0,20024.0,0.0,0.0,1148.0,0.0,0.0,102.0,585.0,001,16,010331,1148.0,102.0
16001000302,"Census Tract 3.02, Ada County, Idaho",3130.0,2737.0,0.0,0.0,123.0,0.0,10.0,87.0,173.0,001,16,000302,123.0,97.0
16001000802,"Census Tract 8.02, Ada County, Idaho",5630.0,5033.0,0.0,65.0,150.0,0.0,0.0,155.0,227.0,001,16,000802,150.0,220.0
16001001000,"Census Tract 10, Ada County, Idaho",6883.0,5805.0,6.0,128.0,157.0,0.0,0.0,195.0,592.0,001,16,001000,157.0,323.0
16001001800,"Census Tract 18, Ada County, Idaho",4405.0,3899.0,63.0,94.0,61.0,0.0,0.0,148.0,140.0,001,16,001800,61.0,242.0
16001010313,"Census Tract 103.13, Ada County, Idaho",22340.0,20254.0,147.0,0.0,752.0,0.0,0.0,166.0,1021.0,001,16,010313,752.0,166.0
16001010321,"Census Tract 103.21, Ada County, Idaho",7884.0,6200.0,412.0,0.0,200.0,0.0,0.0,102.0,970.0,001,16,010321,200.0,102.0
16001000400,"Census Tract 4, Ada County, Idaho",5795.0,4410.0,59.0,4.0,230.0,29.0,0.0,441.0,622.0,001,16,000400,259.0,445.0
16001000900,"Census Tract 9, Ada County, Idaho",6369.0,4707.0,112.0,15.0,203.0,0.0,0.0,192.0,1140.0,001,16,000900,203.0,207.0
16001002310,"Census Tract 23.10, Ada County, Idaho",10527.0,8516.0,16.0,17.0,235.0,0.0,50.0,311.0,1382.0,001,16,002310,235.0,378.0
16001010201,"Census Tract 102.01, Ada County, Idaho",11517.0,10140.0,0.0,143.0,128.0,0.0,0.0,132.0,974.0,001,16,010201,128.0,275.0
16005000900,"Census Tract 9, Bannock County, Idaho",2415.0,2124.0,68.0,29.0,0.0,0.0,0.0,0.0,194.0,005,16,000900,0.0,29.0
16005001900,"Census Tract 19, Bannock County, Idaho",4865.0,4598.0,6.0,16.0,11.0,2.0,0.0,53.0,179.0,005,16,001900,13.0,69.0
16005000400,"Census Tract 4, Bannock County, Idaho",5749.0,4944.0,8.0,62.0,115.0,0.0,0.0,131.0,489.0,005,16,000400,115.0,193.0
16005001200,"Census Tract 12, Bannock County, Idaho",3350.0,2967.0,52.0,0.0,6.0,0.0,0.0,67.0,258.0,005,16,001200,6.0,67.0
16013960300,"Census Tract 9603, Blaine County, Idaho",3675.0,3127.0,35.0,0.0,41.0,1.0,0.0,0.0,471.0,013,16,960300,42.0,0.0
16073950200,"Census Tract 9502, Owyhee County, Idaho",3641.0,2627.0,3.0,299.0,9.0,0.0,0.0,34.0,669.0,073,16,950200,9.0,333.0
16073950102,"Census Tract 9501.02, Owyhee County, Idaho",3283.0,2332.0,13.0,0.0,0.0,0.0,0.0,107.0,831.0,073,16,950102,0.0,107.0
16073950101,"Census Tract 9501.01, Owyhee County, Idaho",4460.0,2801.0,0.0,50.0,12.0,0.0,0.0,74.0,1523.0,073,16,950101,12.0,124.0
16013960500,"Census Tract 9605, Blaine County, Idaho",3013.0,2438.0,23.0,3.0,28.0,0.0,0.0,7.0,514.0,013,16,960500,28.0,10.0
16013960100,"Census Tract 9601, Blaine County, Idaho",4868.0,4116.0,6.0,5.0,98.0,0.0,0.0,89.0,554.0,013,16,960100,98.0,94.0
16013960200,"Census Tract 9602, Blaine County, Idaho",10027.0,6830.0,0.0,0.0,44.0,9.0,0.0,148.0,2996.0,013,16,960200,53.0,148.0
16015950200,"Census Tract 9502, Boise County, Idaho",6968.0,6394.0,14.0,69.0,51.0,0.0,0.0,154.0,286.0,015,16,950200,51.0,223.0
16021970200,"Census Tract 9702, Boundary County, Idaho",4983.0,4452.0,23.0,13.0,0.0,0.0,0.0,162.0,333.0,021,16,970200,0.0,175.0
16021970100,"Census Tract 9701, Boundary County, Idaho",6340.0,5842.0,2.0,131.0,57.0,49.0,0.0,66.0,193.0,021,16,970100,106.0,197.0
16023970100,"Census Tract 9701, Butte County, Idaho",2613.0,2472.0,65.0,1.0,0.0,0.0,0.0,9.0,66.0,023,16,970100,0.0,10.0
16029960200,"Census Tract 9602, Caribou County, Idaho",2626.0,2548.0,0.0,2.0,0.0,0.0,0.0,53.0,23.0,029,16,960200,0.0,55.0
16029960100,"Census Tract 9601, Caribou County, Idaho",4236.0,3869.0,0.0,4.0,0.0,0.0,6.0,9.0,348.0,029,16,960100,0.0,19.0
16047960200,"Census Tract 9602, Gooding County, Idaho",7631.0,5056.0,15.0,90.0,0.0,32.0,5.0,87.0,2346.0,047,16,960200,32.0,182.0
16047960100,"Census Tract 9601, Gooding County, Idaho",7479.0,5240.0,0.0,73.0,71.0,0.0,19.0,68.0,2008.0,047,16,960100,71.0,160.0
16001001100,"Census Tract 11, Ada County, Idaho",4153.0,2985.0,15.0,0.0,20.0,0.0,0.0,137.0,996.0,001,16,001100,20.0,137.0
16001002000,"Census Tract 20, Ada County, Idaho",4512.0,3153.0,366.0,14.0,0.0,0.0,40.0,51.0,888.0,001,16,002000,0.0,105.0
16001010221,"Census Tract 102.21, Ada County, Idaho",7862.0,7078.0,0.0,0.0,129.0,0.0,0.0,142.0,513.0,001,16,010221,129.0,142.0
16001010332,"Census Tract 103.32, Ada County, Idaho",16148.0,13726.0,51.0,0.0,313.0,32.0,0.0,443.0,1583.0,001,16,010332,345.0,443.0
16001010401,"Census Tract 104.01, Ada County, Idaho",23352.0,20656.0,0.0,15.0,177.0,0.0,46.0,796.0,1662.0,001,16,010401,177.0,857.0
16001002100,"Census Tract 21, Ada County, Idaho",2063.0,1880.0,1.0,0.0,89.0,0.0,0.0,49.0,44.0,001,16,002100,89.0,49.0
16001002302,"Census Tract 23.02, Ada County, Idaho",9674.0,6850.0,294.0,49.0,216.0,0.0,0.0,232.0,2033.0,001,16,002302,216.0,281.0
16001010333,"Census Tract 103.33, Ada County, Idaho",11831.0,10162.0,415.0,26.0,317.0,0.0,0.0,155.0,756.0,001,16,010333,317.0,181.0
16005001000,"Census Tract 10, Bannock County, Idaho",3094.0,2677.0,0.0,37.0,0.0,54.0,0.0,11.0,315.0,005,16,001000,54.0,48.0
16005001300,"Census Tract 13, Bannock County, Idaho",2563.0,2009.0,0.0,0.0,15.0,0.0,0.0,76.0,463.0,005,16,001300,15.0,76.0
16005001700,"Census Tract 17, Bannock County, Idaho",3448.0,3266.0,0.0,8.0,57.0,0.0,0.0,44.0,73.0,005,16,001700,57.0,52.0
16005000300,"Census Tract 3, Bannock County, Idaho",9106.0,7545.0,11.0,0.0,103.0,23.0,11.0,425.0,988.0,005,16,000300,126.0,436.0
16005000600,"Census Tract 6, Bannock County, Idaho",3980.0,3399.0,7.0,75.0,238.0,0.0,0.0,36.0,225.0,005,16,000600,238.0,111.0
16005001101,"Census Tract 11.01, Bannock County, Idaho",7141.0,6334.0,0.0,8.0,137.0,0.0,0.0,111.0,551.0,005,16,001101,137.0,119.0
16005001102,"Census Tract 11.02, Bannock County, Idaho",3818.0,3142.0,81.0,3.0,0.0,21.0,0.0,118.0,453.0,005,16,001102,21.0,121.0
16005001601,"Census Tract 16.01, Bannock County, Idaho",2669.0,2146.0,0.0,103.0,27.0,0.0,0.0,86.0,307.0,005,16,001601,27.0,189.0
16005000700,"Census Tract 7, Bannock County, Idaho",4225.0,3463.0,87.0,26.0,135.0,0.0,0.0,160.0,354.0,005,16,000700,135.0,186.0
16005000800,"Census Tract 8, Bannock County, Idaho",2444.0,1854.0,116.0,5.0,133.0,35.0,0.0,80.0,221.0,005,16,000800,168.0,85.0
16005001400,"Census Tract 14, Bannock County, Idaho",4277.0,3318.0,15.0,231.0,6.0,0.0,0.0,171.0,536.0,005,16,001400,6.0,402.0
16005001500,"Census Tract 15, Bannock County, Idaho",5735.0,5051.0,0.0,15.0,13.0,0.0,27.0,180.0,449.0,005,16,001500,13.0,222.0
16005001602,"Census Tract 16.02, Bannock County, Idaho",3800.0,3099.0,0.0,164.0,35.0,0.0,49.0,108.0,345.0,005,16,001602,35.0,321.0
16005000500,"Census Tract 5, Bannock County, Idaho",1924.0,1832.0,0.0,32.0,0.0,0.0,0.0,0.0,60.0,005,16,000500,0.0,32.0
16005000200,"Census Tract 2, Bannock County, Idaho",3847.0,3627.0,59.0,4.0,0.0,0.0,0.0,34.0,123.0,005,16,000200,0.0,38.0
16005001603,"Census Tract 16.03, Bannock County, Idaho",2977.0,2668.0,1.0,28.0,1.0,17.0,0.0,81.0,181.0,005,16,001603,18.0,109.0
16007950200,"Census Tract 9502, Bear Lake County, Idaho",2413.0,2275.0,22.0,13.0,11.0,0.0,0.0,18.0,74.0,007,16,950200,11.0,31.0
16011950600,"Census Tract 9506, Bingham County, Idaho",5599.0,4049.0,85.0,0.0,0.0,2.0,0.0,206.0,1257.0,011,16,950600,2.0,206.0
16007950100,"Census Tract 9501, Bear Lake County, Idaho",3529.0,3290.0,26.0,0.0,29.0,0.0,0.0,13.0,171.0,007,16,950100,29.0,13.0
16011950100,"Census Tract 9501, Bingham County, Idaho",8184.0,7001.0,0.0,0.0,64.0,0.0,0.0,97.0,1022.0,011,16,950100,64.0,97.0
16011950300,"Census Tract 9503, Bingham County, Idaho",5669.0,3569.0,0.0,25.0,20.0,0.0,0.0,119.0,1936.0,011,16,950300,20.0,144.0
16011950200,"Census Tract 9502, Bingham County, Idaho",3784.0,3508.0,0.0,4.0,4.0,0.0,0.0,12.0,256.0,011,16,950200,4.0,16.0
16011950500,"Census Tract 9505, Bingham County, Idaho",7186.0,5495.0,47.0,108.0,104.0,0.0,0.0,60.0,1372.0,011,16,950500,104.0,168.0
16011950400,"Census Tract 9504, Bingham County, Idaho",7059.0,5589.0,0.0,114.0,188.0,0.0,0.0,84.0,1084.0,011,16,950400,188.0,198.0
16011950700,"Census Tract 9507, Bingham County, Idaho",5107.0,4026.0,0.0,53.0,0.0,0.0,26.0,237.0,765.0,011,16,950700,0.0,316.0
16019970603,"Census Tract 9706.03, Bonneville County, Idaho",2180.0,1956.0,14.0,30.0,0.0,0.0,3.0,48.0,129.0,019,16,970603,0.0,81.0
16019970602,"Census Tract 9706.02, Bonneville County, Idaho",5618.0,4516.0,19.0,82.0,194.0,0.0,0.0,137.0,670.0,019,16,970602,194.0,219.0
16019970900,"Census Tract 9709, Bonneville County, Idaho",4881.0,4273.0,8.0,16.0,59.0,0.0,0.0,118.0,407.0,019,16,970900,59.0,134.0
16019971302,"Census Tract 9713.02, Bonneville County, Idaho",4877.0,3688.0,10.0,28.0,164.0,61.0,0.0,46.0,880.0,019,16,971302,225.0,74.0
16019970501,"Census Tract 9705.01, Bonneville County, Idaho",8569.0,7227.0,37.0,0.0,90.0,82.0,11.0,410.0,712.0,019,16,970501,172.0,421.0
16019970503,"Census Tract 9705.03, Bonneville County, Idaho",5420.0,4725.0,0.0,0.0,69.0,0.0,0.0,115.0,511.0,019,16,970503,69.0,115.0
16019970601,"Census Tract 9706.01, Bonneville County, Idaho",2737.0,2296.0,0.0,0.0,15.0,0.0,0.0,60.0,366.0,019,16,970601,15.0,60.0
16019971500,"Census Tract 9715, Bonneville County, Idaho",1743.0,1364.0,0.0,0.0,0.0,0.0,0.0,13.0,366.0,019,16,971500,0.0,13.0
16019971301,"Census Tract 9713.01, Bonneville County, Idaho",6357.0,5132.0,42.0,0.0,29.0,0.0,0.0,55.0,1099.0,019,16,971301,29.0,55.0
16019970502,"Census Tract 9705.02, Bonneville County, Idaho",5789.0,5156.0,0.0,0.0,71.0,15.0,16.0,112.0,419.0,019,16,970502,86.0,128.0
16019971100,"Census Tract 9711, Bonneville County, Idaho",3305.0,2665.0,44.0,0.0,32.0,21.0,9.0,111.0,423.0,019,16,971100,53.0,120.0
16019971400,"Census Tract 9714, Bonneville County, Idaho",8971.0,7747.0,0.0,48.0,67.0,0.0,0.0,118.0,991.0,019,16,971400,67.0,166.0
16019971000,"Census Tract 9710, Bonneville County, Idaho",5102.0,4306.0,2.0,0.0,17.0,0.0,0.0,142.0,635.0,019,16,971000,17.0,142.0
16019971200,"Census Tract 9712, Bonneville County, Idaho",4403.0,3318.0,17.0,13.0,24.0,0.0,0.0,23.0,1008.0,019,16,971200,24.0,36.0
16019970300,"Census Tract 9703, Bonneville County, Idaho",6701.0,6170.0,0.0,0.0,25.0,0.0,0.0,22.0,484.0,019,16,970300,25.0,22.0
16019970401,"Census Tract 9704.01, Bonneville County, Idaho",2782.0,2346.0,0.0,0.0,27.0,0.0,0.0,0.0,409.0,019,16,970401,27.0,0.0
16019970402,"Census Tract 9704.02, Bonneville County, Idaho",4553.0,4440.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,019,16,970402,0.0,0.0
16019970800,"Census Tract 9708, Bonneville County, Idaho",4037.0,3635.0,39.0,37.0,18.0,0.0,0.0,5.0,303.0,019,16,970800,18.0,42.0
